,Title,Price,Star Rating
0,Slow States of Collapse: Poems,57.31,Three
1,Reasons to Stay Alive,26.41,Two
2,Private Paris (Private #10),47.61,Five
3,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five
4,Without Borders (Wanderlove #1),45.07,Two
5,When We Collided,31.77,One
6,"We Love You, Charlie Freeman",50.27,Five
7,Untitled Collection: Sabbath Poems 2014,14.27,Four
8,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four
9,Unicorn Tracks,18.78,Three
10,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One
11,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One
12,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three
13,This One Summer,19.49,Four
14,Thirst,17.27,Five
15,The Torch Is Passed: A Harding Family Story,19.09,One
16,The Secret of Dreadwillow Carse,56.13,One
17,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One
18,The Past Never Ends,56.5,Four
19,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three
20,Slow States of Collapse: Poems,57.31,Three
21,Reasons to Stay Alive,26.41,Two
22,Private Paris (Private #10),47.61,Five
23,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five
24,Without Borders (Wanderlove #1),45.07,Two
25,When We Collided,31.77,One
26,"We Love You, Charlie Freeman",50.27,Five
27,Untitled Collection: Sabbath Poems 2014,14.27,Four
28,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four
29,Unicorn Tracks,18.78,Three
30,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One
31,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One
32,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three
33,This One Summer,19.49,Four
34,Thirst,17.27,Five
35,The Torch Is Passed: A Harding Family Story,19.09,One
36,The Secret of Dreadwillow Carse,56.13,One
37,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One
38,The Past Never Ends,56.5,Four
39,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three
40,Slow States of Collapse: Poems,57.31,Three
41,Reasons to Stay Alive,26.41,Two
42,Private Paris (Private #10),47.61,Five
43,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five
44,Without Borders (Wanderlove #1),45.07,Two
45,When We Collided,31.77,One
46,"We Love You, Charlie Freeman",50.27,Five
47,Untitled Collection: Sabbath Poems 2014,14.27,Four
48,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four
49,Unicorn Tracks,18.78,Three
50,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One
51,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One
52,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three
53,This One Summer,19.49,Four
54,Thirst,17.27,Five
55,The Torch Is Passed: A Harding Family Story,19.09,One
56,The Secret of Dreadwillow Carse,56.13,One
57,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One
58,The Past Never Ends,56.5,Four
59,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three
60,Slow States of Collapse: Poems,57.31,Three
61,Reasons to Stay Alive,26.41,Two
62,Private Paris (Private #10),47.61,Five
63,#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five
64,Without Borders (Wanderlove #1),45.07,Two
65,When We Collided,31.77,One
66,"We Love You, Charlie Freeman",50.27,Five
67,Untitled Collection: Sabbath Poems 2014,14.27,Four
68,"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four
69,Unicorn Tracks,18.78,Three
70,"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One
72,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three
73,This One Summer,19.49,Four
74,Thirst,17.27,Five
75,The Torch Is Passed: A Harding Family Story,19.09,One
76,The Secret of Dreadwillow Carse,56.13,One
77,"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One
78,The Past Never Ends,56.5,Four
79,The Natural History of Us (The Fine Art of Pretending #2),45.22,Three
